No,HID_DIM,ENC_LAYERS/DEC_LAYERS,ENC_HEADS/DEC_HEADS,PF,PF_ACT,ENC_PF_DIM/DEC_PF_DIM,TE_TYPE,ENC_DROPOUT/DEC_DROPOUT,Time,Parameters,val_loss,val_PLL,BLEU
57,256,3,8,TRUE,relu,2048,1,0.1,9m17s,11737926,3.38,29.39,2.14
58,512,3,8,TRUE,relu,2048,1,0.1,16m40s,28177990,4.47,86.98,0
59,256,6,8,TRUE,relu,2048,1,0.1,17m20s,20419398,5.63,278.46,0
60,512,6,8,TRUE,relu,2048,1,0.1,31m41s,50247238,7.13,1248.31,0
61,256,3,4,TRUE,relu,2048,1,0.1,8m51s,11737926,3.69,39.92,1.22
62,512,3,4,TRUE,relu,2048,1,0.1,16m30s,28177990,4.28,72.52,0
63,256,6,4,TRUE,relu,2048,1,0.1,16m34s,20419398,7,1099.78,0
64,512,6,4,TRUE,relu,2048,1,0.1,31m25s,50247238,6.78,881.19,0
65,256,3,8,TRUE,relu,2048,0,0,9m7s,11737926,3.04,20.87,15.53
66,512,3,8,TRUE,relu,2048,0,0,16m22s,28177990,3.05,21.22,10.05
67,256,6,8,TRUE,relu,2048,0,0,17m0s,20419398,5.07,159.55,0
68,512,6,8,TRUE,relu,2048,0,0,30m59s,50247238,5.18,178.41,0
69,256,3,4,TRUE,relu,2048,0,0,8m39s,11737926,2.98,19.59,13.9
70,512,3,4,TRUE,relu,2048,0,0,16m12s,28177990,3.05,21.11,9.04
71,256,6,4,TRUE,relu,2048,0,0,16m11s,20419398,5.17,176.33,0
72,512,6,4,TRUE,relu,2048,0,0,30m42s,50247238,5.19,178.62,0
73,256,3,8,TRUE,relu,2048,1,0,9m5s,11737926,3.12,22.59,5.18
74,512,3,8,TRUE,relu,2048,1,0,16m23s,28177990,4.35,77.71,0.29
75,256,6,8,TRUE,relu,2048,1,0,16m57s,20419398,5.17,176.6,0
76,512,6,8,TRUE,relu,2048,1,0,31m1s,50247238,5.18,178.23,0
77,256,3,4,TRUE,relu,2048,1,0,8m43s,11737926,3.58,35.93,2.16
78,512,3,4,TRUE,relu,2048,1,0,16m13s,28177990,4.44,84.8,0
79,256,6,4,TRUE,relu,2048,1,0,16m10s,20419398,5.27,193.55,0
80,512,6,4,TRUE,relu,2048,1,0,30m44s,50247238,5.23,186.62,0
81,256,3,8,TRUE,relu,2048,0,0.2,9m24s,11737926,2.39,10.9,15.68
82,512,3,8,TRUE,relu,2048,0,0.2,16m45s,28177990,2.94,19,3.41
83,256,6,8,TRUE,relu,2048,0,0.2,17m32s,20419398,7.25,1403.65,0
